PRT194605270,MAN,PPD,PRT,PPD,,5:45pm,RAINEDOUT,Rain,,
PAW194605280,FRV,PPD,PAW,PPD,,8:30pm,RAINEDOUT,Rain,,
PRV194605280,MAN,PPD,PRV,PPD,,,RAINEDOUT,Rain,,
NAS194605280,LAW,PPD,NAS,PPD,,,RAINEDOUT,Rain,,
LYN194605280,PRT,PPD,LYN,PPD,,,RAINEDOUT,Rain,,
PAW194605290,NAS,2,PAW,8,,8:30pm,,,,
PRV194605290,PRT,0,PRV,9,,8:30pm,,,,
LYN194605290,LAW,1,LYN,8,,,,,,
FRV194605290,MAN,PPD,FRV,PPD,,8:30pm,RAINEDOUT,Rain,,
NAS194605301,PRV,2,NAS,3,7,,,,,
NAS194605302,PRV,PPD,NAS,PPD,,,PROTESTED_SUCCESSFULLY,Nashua lost 1-0 but Dodgers protested and result was overturned,,
LAW194605301,LYN,6,LAW,17,8,,,,,
LAW194605302,LYN,11,LAW,3,,,,,,
PRT194605301,FRV,4,PRT,3,10,,,,,
PRT194605302,FRV,0,PRT,5,7,,,,Darkness,
MAN194605301,PAW,4,MAN,1,7,,,,,
MAN194605302,PAW,0,MAN,4,,,,,,
PAW194605310,MAN,6,PAW,9,,,,,,
PRV194605310,LYN,13,PRV,0,,,,,,
NAS194605310,PRT,10,NAS,11,,8:15pm,,,,
LAW194605310,FRV,2,LAW,16,,,,,,
PRV194606010,MAN,PPD,PRV,PPD,,,RAINEDOUT,Rain,,
NAS194606011,PAW,PPD,NAS,PPD,,6pm,RAINEDOUT,Rain,,
NAS194606012,PAW,PPD,NAS,PPD,,,RAINEDOUT,Rain,,
FRV194606011,LYN,PPD,FRV,PPD,,6pm,RAINEDOUT,Rain,,
FRV194606012,LYN,PPD,FRV,PPD,,8:30pm,RAINEDOUT,Rain,,
PRT194606010,LAW,PPD,PRT,PPD,,,RAINEDOUT,Rain,,
PAW194606020,PRV,PPD,PAW,PPD,,8pm,RAINEDOUT,Rain,,
LAW194606020,MAN,PPD,LAW,PPD,,2:30pm,RAINEDOUT,Rain,,
LYN194606020,PAW,PPD,LYN,PPD,,3pm,RAINEDOUT,Rain,,
FRV194606020,PRV,PPD,FRV,PPD,,3pm,RAINEDOUT,Rain,,
PRT194606020,NAS,7,PRT,6,,2:30pm,,,,
MAN194606020,LAW,PPD,MAN,PPD,,8:15pm,RAINEDOUT,Rain,,
PRV194606030,LYN,5,PRV,3,,8:30pm,,,,
LAW194606030,NAS,4,LAW,5,,,,,,
PRT194606030,MAN,8,PRT,9,,,,,,
PAW194606030,FRV,0,PAW,7,,8:30pm,MAKEUP,,,
LYN194606040,PRV,PPD,LYN,PPD,,8:30pm,RAINEDOUT,Rain,,
FRV194606040,PAW,PPD,FRV,PPD,,8:30pm,RAINEDOUT,Rain,,
MAN194606040,PRT,2,MAN,13,6,,,,Rain,
PRV194606050,LAW,PPD,PRV,PPD,,8:30pm,RAINEDOUT,Rain: Game tied 1-1 in 2nd inning,,
LYN194606051,NAS,4,LYN,3,8,,,,Darkness,
LYN194606052,NAS,4,LYN,5,,,MAKEUP,,,
