LYN194606070,PAW,1,LYN,2,
MAN194606070,NAS,PPD,MAN,PPD,
PAW194606081,MAN,5,PAW,7,
NAS194606080,LAW,PPD,NAS,PPD,
FRV194606080,PRV,PPD,FRV,PPD,
PRT194606080,LYN,15,PRT,7,
PRV194606090,PAW,5,PRV,7,
NAS194606090,MAN,5,NAS,0,
MAN194606090,NAS,5,MAN,1,
LAW194606091,FRV,5,LAW,14,
LAW194606092,FRV,3,LAW,8,
PRT194606090,LYN,5,PRT,1,
PAW194606100,FRV,3,PAW,7,
NAS194606100,PRT,2,NAS,12,
LAW194606100,PRV,1,LAW,12,
MAN194606101,LYN,7,MAN,0,
PAW194606111,PRT,PPD,PAW,PPD,
LYN194606110,LAW,PPD,LYN,PPD,
FRV194606111,NAS,PPD,FRV,PPD,
MAN194606110,PRV,PPD,MAN,PPD,
NAS194606122,PRV,5,NAS,3,
LAW194606120,LYN,11,LAW,1,
FRV194606120,PAW,1,FRV,4,
MAN194606120,PRT,10,MAN,19,
PAW194606131,LYN,2,PAW,3,11
NAS194606130,MAN,4,NAS,2,
FRV194606130,LAW,15,FRV,4,
PRT194606130,PRV,4,PRT,2,
LAW194606140,PAW,0,LAW,6,
LYN194606140,PRV,2,LYN,3,
PRT194606140,NAS,11,PRT,5,
MAN194606140,FRV,1,MAN,5,
PRV194606151,MAN,9,PRV,4,7
LAW194606150,NAS,7,LAW,5,
FRV194606151,LYN,4,FRV,1,7
PRT194606151,PAW,4,PRT,5,
PAW194606160,MAN,4,PAW,7,
NAS194606160,LYN,2,NAS,6,
LYN194606160,PAW,3,LYN,4,
FRV194606160,PRV,7,FRV,4,
PRT194606161,LAW,3,PRT,2,
PRT194606162,LAW,7,PRT,6,17
PAW194606170,FRV,3,PAW,5,
LAW194606170,PRT,0,LAW,7,
LYN194606170,NAS,10,LYN,11,10
MAN194606170,PRV,PPD,MAN,PPD,
PAW194606180,LAW,3,PAW,7,
NAS194606180,PRV,2,NAS,0,
LYN194606180,MAN,2,LYN,3,
FRV194606180,PRT,PPD,FRV,PPD,
NAS194606190,PRT,1,NAS,2,
LAW194606190,PRV,8,LAW,6,
LYN194606191,PAW,1,LYN,2,
FRV194606191,MAN,5,FRV,4,
FRV194606192,MAN,8,FRV,3,
PRV194606200,LYN,12,PRV,1,
NAS194606201,PAW,1,NAS,0,7
LAW194606201,MAN,7,LAW,5,10
PRT194606200,FRV,8,PRT,1,
PAW194606210,PRV,3,PAW,1,
PRT194606210,NAS,10,PRT,2,
MAN194606210,FRV,2,MAN,8,
PRV194606220,LAW,3,PRV,8,
FRV194606221,NAS,5,FRV,2,7
PRT194606221,LYN,14,PRT,6,
PRT194606222,LYN,12,PRT,3,7
MAN194606221,PAW,1,MAN,10,7
PRV194606231,NAS,8,PRV,4,7
PRV194606232,NAS,5,PRV,7,
LYN194606230,FRV,8,LYN,9,11
PRT194606231,PAW,8,PRT,3,
PRT194606232,PAW,19,PRT,11,7
MAN194606230,LAW,3,MAN,2,
PRV194606240,PRT,6,PRV,13,
NAS194606240,MAN,7,NAS,4,
LAW194606240,PAW,3,LAW,7,
FRV194606241,LYN,7,FRV,5,
PRV194606250,PAW,2,PRV,3,6
LYN194606251,PRT,1,LYN,3,7
FRV194606250,LAW,PPD,FRV,PPD,
PAW194606260,PRT,1,PAW,13,
NAS194606260,PRV,4,NAS,8,
LAW194606260,FRV,0,LAW,6,
LYN194606261,MAN,0,LYN,2,7
NAS194606270,LYN,PPD,NAS,PPD,
LAW194606271,MAN,6,LAW,11,
FRV194606271,PAW,2,FRV,0,7
FRV194606272,PAW,4,FRV,2,
PRT194606270,PRV,PPD,PRT,PPD,
PAW194606280,FRV,3,PAW,10,
PRV194606281,LAW,9,PRV,0,7
LYN194606280,NAS,4,LYN,3,
PRT194606281,MAN,PPD,PRT,PPD,
PAW194606290,LYN,4,PAW,5,
NAS194606291,LAW,4,NAS,8,
FRV194606291,PRV,2,FRV,4,
MAN194606291,PRT,1,MAN,9,
PAW194606300,MAN,2,PAW,4,
NAS194606301,PRV,8,NAS,3,7
LAW194606301,PRT,6,LAW,19,
LAW194606302,PRT,2,LAW,8,7
LYN194606301,FRV,6,LYN,4,
PAW194607010,PRV,5,PAW,2,
NAS194607010,PRT,1,NAS,5,
LAW194607010,LYN,4,LAW,5,
FRV194607011,MAN,9,FRV,3,7
PRV194607021,MAN,6,PRV,4,7
LYN194607020,PAW,2,LYN,0,
FRV194607021,NAS,1,FRV,2,7
NAS194607030,PAW,0,NAS,1,
LYN194607030,PRV,2,LYN,0,
PRT194607030,LAW,9,PRT,6,
MAN194607030,FRV,5,MAN,6,10
NAS194607041,LAW,3,NAS,4,7
NAS194607042,LAW,0,NAS,2,
FRV194607041,LYN,8,FRV,5,8
FRV194607042,LYN,8,FRV,4,
PRT194607041,PRV,7,PRT,8,
PRT194607042,PRV,10,PRT,11,7
MAN194607041,PAW,3,MAN,0,7
MAN194607042,PAW,19,MAN,13,
PAW194607050,NAS,1,PAW,4,
PRV194607050,MAN,6,PRV,7,
LYN194607050,FRV,PPD,LYN,PPD,
PRV194607060,NAS,7,PRV,8,
FRV194607061,PAW,1,FRV,0,7
PRT194607060,LYN,13,PRT,1,
MAN194607060,LAW,3,MAN,7,
PAW194607070,PRV,3,PAW,4,
LAW194607070,NAS,2,LAW,3,
LYN194607070,MAN,2,LYN,6,
FRV194607071,PRT,3,FRV,5,
FRV194607072,PRT,6,FRV,8,7
MAN194607070,LYN,13,MAN,6,
PRV194607080,LYN,10,PRV,9,
LAW194607081,PAW,1,LAW,7,
PRT194607080,FRV,10,PRT,5,7
MAN194607080,NAS,3,MAN,5,
PRV194607091,LAW,9,PRV,10,7
NAS194607090,MAN,1,NAS,2,
LYN194607090,PAW,0,LYN,10,
PRT194607090,FRV,6,PRT,2,
PAW194607101,LAW,5,PAW,2,7
NAS194607101,FRV,1,NAS,5,7
LYN194607100,PRT,5,LYN,11,
MAN194607101,PRV,0,MAN,3,
PRV194607110,PAW,13,PRV,10,
NAS194607111,LYN,3,NAS,5,7
LAW194607110,FRV,2,LAW,12,
PRT194607110,MAN,8,PRT,8,
PAW194607120,FRV,3,PAW,5,
LAW194607120,PRV,2,LAW,13,
LYN194607120,NAS,5,LYN,4,
MAN194607120,PRT,3,MAN,17,
PRV194607130,LYN,3,PRV,1,
FRV194607130,LAW,8,FRV,9,
PRT194607130,NAS,11,PRT,1,
MAN194607130,PAW,8,MAN,6,
PRV194607141,FRV,2,PRV,5,7
PRV194607142,FRV,11,PRV,13,
NAS194607140,MAN,3,NAS,2,
LYN194607140,LAW,4,LYN,5,12
PRT194607141,PAW,18,PRT,6,
PRV194607150,PRT,4,PRV,6,
NAS194607151,PAW,0,NAS,4,7
LAW194607150,LYN,PPD,LAW,PPD,
PAW194607160,MAN,5,PAW,4,10
LAW194607160,PRT,0,LAW,10,
LYN194607161,PRV,4,LYN,5,8
FRV194607161,NAS,4,FRV,5,7
PAW194607170,LYN,6,PAW,5,
FRV194607170,NAS,9,FRV,4,
PRT194607170,PRV,7,PRT,3,
MAN194607170,LAW,5,MAN,15,
PRV194607181,NAS,2,PRV,3,8
LAW194607180,PAW,2,LAW,4,
FRV194607180,MAN,10,FRV,11,10
PRT194607180,LYN,25,PRT,5,7
PAW194607191,PRT,3,PAW,5,7
PRV194607190,LAW,7,PRV,8,10
LYN194607190,FRV,0,LYN,15,
MAN194607190,NAS,11,MAN,7,
PAW194607200,LAW,6,PAW,3,
PRV194607200,MAN,4,PRV,3,
FRV194607201,PRT,2,FRV,3,7
FRV194607202,PRT,6,FRV,1,
PAW194607211,NAS,6,PAW,1,
PAW194607212,NAS,3,PAW,2,
FRV194607210,PRV,12,FRV,4,
PRV194607210,FRV,2,PRV,10,
LYN194607211,MAN,2,LYN,0,
PRT194607211,LAW,PPD,PRT,PPD,
PRT194607212,LAW,PPD,PRT,PPD,
MAN194607212,LYN,PPD,MAN,PPD,
PAW194607220,LYN,PPD,PAW,PPD,
NAS194607220,PRT,PPD,NAS,PPD,
LAW194607220,MAN,PPD,LAW,PPD,
PRV194607230,PAW,PPD,PRV,PPD,
LYN194607230,NAS,PPD,LYN,PPD,
FRV194607230,LAW,PPD,FRV,PPD,
PRT194607231,MAN,PPD,PRT,PPD,
PRV194607240,NAS,9,PRV,3,10
LAW194607240,FRV,0,LAW,14,
LYN194607240,PAW,6,LYN,8,
MAN194607240,PRT,1,MAN,12,
PAW194607250,MAN,9,PAW,4,
NAS194607250,LYN,3,NAS,4,
LAW194607251,PRV,0,LAW,10,7
LAW194607252,PRV,4,LAW,9,
PRT194607250,FRV,10,PRT,6,8
PAW194607260,PRV,5,PAW,2,
LYN194607261,PRT,6,LYN,4,7
LYN194607262,PRT,4,LYN,9,
MAN194607260,LAW,6,MAN,3,
PRV194607270,PRT,3,PRV,9,
LAW194607270,NAS,9,LAW,10,
FRV194607270,PAW,9,FRV,1,
MAN194607270,LYN,6,MAN,2,
PAW194607280,LAW,0,PAW,2,
PRV194607282,MAN,19,PRV,10,
LYN194607281,FRV,13,LYN,11,
PRT194607281,NAS,12,PRT,6,7
PRT194607282,NAS,13,PRT,4,
PRV194607290,FRV,0,PRV,14,
LAW194607290,LYN,13,LAW,15,10
PRT194607291,MAN,12,PRT,8,7
PAW194607300,NAS,3,PAW,4,11
LYN194607300,LAW,PPD,LYN,PPD,
PRT194607300,PRV,7,PRT,1,
PAW194607310,FRV,4,PAW,3,
LAW194607311,NAS,6,LAW,5,7
LAW194607312,NAS,0,LAW,2,
LYN194607310,PRV,1,LYN,7,
MAN194607310,PRT,PPD,MAN,PPD,
PRV194608010,LYN,PPD,PRV,PPD,
NAS194608011,PAW,PPD,NAS,PPD,
FRV194608010,MAN,PPD,FRV,PPD,
PRT194608011,LAW,PPD,PRT,PPD,
PAW194608020,LAW,3,PAW,1,10
LYN194608020,FRV,PPD,LYN,PPD,
MAN194608020,NAS,PPD,MAN,PPD,
PRV194608020,PRT,PPD,PRV,PPD,
PRV194608030,LAW,5,PRV,8,
NAS194608030,PRT,0,NAS,5,
MAN194608030,PAW,3,MAN,6,
PRV194608040,NAS,6,PRV,2,
LYN194608040,MAN,3,LYN,7,
MAN194608040,LYN,0,MAN,2,
FRV194608041,LAW,4,FRV,2,7
PRT194608041,PAW,10,PRT,4,
PRT194608042,PAW,4,PRT,0,7
NAS194608050,PRV,0,NAS,2,
LAW194608051,MAN,3,LAW,5,7
LYN194608050,PRT,6,LYN,8,
FRV194608050,PAW,PPD,FRV,PPD,
PAW194608060,PRT,0,PAW,10,
LAW194608060,FRV,3,LAW,8,
LYN194608061,NAS,6,LYN,5,11
MAN194608060,PRV,4,MAN,5,
PRV194608070,PAW,PPD,PRV,PPD,
NAS194608070,FRV,PPD,NAS,PPD,
PRT194608070,LYN,PPD,PRT,PPD,
MAN194608070,LAW,PPD,MAN,PPD,
PAW194608081,LYN,1,PAW,2,
NAS194608081,LAW,3,NAS,18,7
FRV194608081,PRV,9,FRV,4,7
PRT194608081,MAN,11,PRT,7,
PAW194608091,NAS,1,PAW,4,7
PRV194608090,FRV,1,PRV,8,
LYN194608090,LAW,9,LYN,2,
MAN194608091,PRT,0,MAN,5,7
PAW194608100,FRV,0,PAW,4,5
LAW194608100,PRV,PPD,LAW,PPD,
FRV194608100,NAS,PPD,FRV,PPD,
MAN194608101,LYN,PPD,MAN,PPD,
PAW194608110,PRV,4,PAW,2,
LYN194608110,LAW,1,LYN,5,
PRT194608111,NAS,9,PRT,4,
MAN194608110,FRV,1,MAN,11,
PRV194608120,MAN,7,PRV,5,10
NAS194608120,PAW,PPD,NAS,PPD,
LAW194608120,LYN,2,LAW,10,
PRT194608120,FRV,8,PRT,7,7
PRV194608131,LYN,PPD,PRV,PPD,
NAS194608131,PRT,PPD,NAS,PPD,
FRV194608131,LAW,4,FRV,2,7
MAN194608130,PAW,PPD,MAN,PPD,
PRV194608140,LAW,3,PRV,4,14
NAS194608140,MAN,PPD,NAS,PPD,
LYN194608140,PAW,10,LYN,14,
FRV194608141,PRT,PPD,FRV,PPD,
PAW194608151,PRT,5,PAW,6,7
LAW194608151,NAS,3,LAW,1,7
LAW194608152,NAS,4,LAW,1,
LYN194608150,PRV,3,LYN,7,
FRV194608151,MAN,6,FRV,2,7
PAW194608161,MAN,4,PAW,1,7
NAS194608161,FRV,3,NAS,9,7
LAW194608161,PRV,0,LAW,3,7
LYN194608160,PRT,4,LYN,9,
PAW194608170,LAW,PPD,PAW,PPD,
FRV194608171,LYN,6,FRV,4,7
MAN194608172,NAS,PPD,MAN,PPD,
PRV194608171,PRT,5,PRV,14,
PRV194608180,PAW,2,PRV,0,
NAS194608181,FRV,1,NAS,3,7
LYN194608180,MAN,1,LYN,6,
MAN194608180,LYN,1,MAN,2,10
PRT194608181,LAW,21,PRT,8,
PAW194608190,LYN,PPD,PAW,PPD,
NAS194608190,PRV,PPD,NAS,PPD,
LAW194608191,PRT,PPD,LAW,PPD,
MAN194608190,FRV,PPD,MAN,PPD,
PAW194608200,PRV,3,PAW,6,
NAS194608201,LAW,0,NAS,4,7
LYN194608200,FRV,1,LYN,4,
PRT194608201,MAN,18,PRT,7,
PAW194608210,FRV,1,PAW,3,
PRV194608211,LYN,4,PRV,5,7
LAW194608211,MAN,2,LAW,3,10
LAW194608212,MAN,1,LAW,0,
PRT194608211,NAS,4,PRT,0,
PRV194608221,NAS,4,PRV,2,7
LAW194608220,PAW,2,LAW,5,
FRV194608220,MAN,6,FRV,9,
PRT194608221,LYN,12,PRT,2,
PAW194608230,MAN,PPD,PAW,PPD,
NAS194608231,FRV,0,NAS,1,7
LYN194608231,LAW,PPD,LYN,PPD,
PRV194608231,PRT,4,PRV,0,6
NAS194608241,PAW,1,NAS,2,7
MAN194608241,LAW,0,MAN,6,7
PAW194608251,LYN,1,PAW,3,7
PAW194608252,LYN,1,PAW,3,
FRV194608250,PRV,4,FRV,1,
PRV194608250,FRV,5,PRV,3,
NAS194608250,LAW,1,NAS,3,
MAN194608250,PRT,13,MAN,12,
PAW194608260,NAS,2,PAW,0,
LAW194608261,PRT,4,LAW,7,7
LYN194608260,PRV,7,LYN,14,
MAN194608260,FRV,1,MAN,11,
PRV194608270,PAW,PPD,PRV,PPD,
NAS194608270,PRT,PPD,NAS,PPD,
LYN194608271,MAN,PPD,LYN,PPD,
FRV194608271,LAW,PPD,FRV,PPD,
PAW194608281,LAW,0,PAW,1,7
LYN194608280,PRT,1,LYN,11,
FRV194608281,NAS,7,FRV,3,7
MAN194608281,PRV,1,MAN,5,7
NAS194608290,MAN,PPD,NAS,PPD,
LAW194608290,LYN,PPD,LAW,PPD,
FRV194608291,PAW,0,FRV,1,11
PRT194608291,PRV,4,PRT,3,7
PAW194608300,PRV,3,PAW,13,
LYN194608301,LAW,1,LYN,2,
PRT194608301,FRV,0,PRT,6,
MAN194608301,NAS,2,MAN,3,7
PAW194608310,PRT,1,PAW,9,
PRV194608310,NAS,7,PRV,6,10
LYN194608311,MAN,0,LYN,2,
FRV194608311,LAW,12,FRV,0,7
PRV194609011,PAW,4,PRV,6,7
NAS194609011,FRV,2,NAS,8,7
