Date,Day,Time,Road,RunsRoad,Home,RunsHome,Innings,DH,OriginalScheduleReference,Rescheduled,LinescoreReference,BoxscoreReference,PostponementReason,ShortenedGameReason,NeutralSiteInfo,Notes,Winner,Loser,Tie
8/18/1946,Sun,,Lynn,1,Manchester,2,10,,BG March 17; TSN May 16,,,,,,,NT0819 says 10 innings,Manchester,Lynn,
8/18/1946,Sun,2pm,Lawrence,21,Portland,8,,Game1,BG March 17; TSN May 16,,PT0819,,,,,,Lawrence,Portland,
8/18/1946,Sun,,Lawrence,6,Portland,4,7,Game2,,MAKEUP,PT0819,,,,,Scheduled 7-inning game,Lawrence,Portland,
8/19/1946,Mon,8:30pm,Lynn,,Pawtucket,,,,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
8/19/1946,Mon,8:15pm,Providence,,Nashua,,,,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
8/19/1946,Mon,7pm,Portland,,Lawrence,,,Game1,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
8/19/1946,Mon,,Portland,,Lawrence,,,Game2,,MAKEUP-RAINEDOUT,,,Rain,,,,,,
8/19/1946,Mon,8:15pm,Fall River,,Manchester,,,,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
8/20/1946,Tue,8:30pm,Providence,3,Pawtucket,6,,,BG March 17; TSN May 16,,BG0821,PJ0821 PT0821,,,,,Pawtucket,Providence,
8/20/1946,Tue,6:30pm,Lawrence,0,Nashua,4,7,Game1,BG March 17; TSN May 16,,PJ0821 PT0821 BG0821,NT0821,,,,Scheduled 7-inning game,Nashua,Lawrence,
8/20/1946,Tue,,Lawrence,3,Nashua,5,,Game2,,MAKEUP,PJ0821 PT0821 BG0821,NT0821,,,,DH was a benefit for Nashua Lions Club,Nashua,Lawrence,
8/20/1946,Tue,8:15pm,Fall River,1,Lynn,4,,,BG March 17; TSN May 16,,PT0821 BG0821,PJ0821 FR0821,,,,Walker Cress tied his season record with 15 strikeouts (16th win in 19 starts),Lynn,Fall River,
8/20/1946,Tue,5:15pm,Manchester,18,Portland,7,,Game1,BG March 17; TSN May 16,,PT0821 BG0821,,,,,,Manchester,Portland,
8/20/1946,Tue,,Manchester,8,Portland,2,7,Game2,,MAKEUP,PT0821 BG0821,,,,,Scheduled 7-inning game; FR0821 says Manchester won 11-7,Manchester,Portland,
8/21/1946,Wed,8:30pm,Fall River,1,Pawtucket,3,,,BG March 17; TSN May 16,,BG0822,PJ0822 PT0822poor FR0822,,,,,Pawtucket,Fall River,
8/21/1946,Wed,7pm,Lynn,4,Providence,5,7,Game1,BG March 17; TSN May 16,,PT0822 BG0822,PJ0822,,,,Scheduled 7-inning game,Providence,Lynn,
8/21/1946,Wed,,Lynn,17,Providence,9,,Game2,,MAKEUP,PT0822 BG0822,PJ0822,,,,,Lynn,Providence,
8/21/1946,Wed,7pm,Manchester,2,Lawrence,3,10,Game1,BG March 17; TSN May 16,,PJ0822 PT0822 BG0822,,,,,Scheduled 7-inning game but tied 2-2 after 7,Lawrence,Manchester,
8/21/1946,Wed,,Manchester,1,Lawrence,0,,Game2,BG March 17; TSN May 16,,PJ0822 PT0822 BG0822,,,,,,Manchester,Lawrence,
8/21/1946,Wed,5:15pm,Nashua,4,Portland,0,,Game1,BG March 17; TSN May 16,,BG0822,NT0822,,,,,Nashua,Portland,
8/21/1946,Wed,,Nashua,18,Portland,8,,Game2,,MAKEUP,BG0822,NT0822,,,,,Nashua,Portland,
8/22/1946,Thu,7pm,Nashua,4,Providence,2,7,Game1,BG March 17; TSN May 16,,PT0823,PJ0823 NT0823,,,,Scheduled 7-inning game,Nashua,Providence,
8/22/1946,Thu,,Nashua,3,Providence,4,,Game2,,MAKEUP,PT0823,PJ0823 NT0823,,,,Dodgers 14-game winning streak ends,Providence,Nashua,
8/22/1946,Thu,8:15pm,Pawtucket,2,Lawrence,5,,,BG March 17; TSN May 16,,,PJ0823 PT0823poor,,,,,Lawrence,Pawtucket,
8/22/1946,Thu,8pm,Manchester,6,Fall River,9,,,BG March 17; TSN May 16,,PT0823,PJ0823 FR0823,,,,Boosters' Night rescheduled after fog in last attempt,Fall River,Manchester,
8/22/1946,Thu,3pm,Lynn,12,Portland,2,,Game1,BG March 17; TSN May 16,,PJ0823 PT0823,,,,,,Lynn,Portland,
8/22/1946,Thu,,Lynn,7,Portland,4,7,Game2,,MAKEUP,PJ0823 PT0823,,,,,Scheduled 7-inning game,Lynn,Portland,
8/23/1946,Fri,8:30pm,Manchester,,Pawtucket,,,,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
8/23/1946,Fri,6:30pm,Fall River,0,Nashua,1,7,Game1,BG March 17; TSN May 16,,PT0824,PJ0824 NT0824,,,,Scheduled 7-inning game; start delayed by an hour by wet field; Don Newcombe winning pitcher,Nashua,Fall River,
8/23/1946,Fri,,Fall River,4,Nashua,4,13,Game2,,MAKEUP,,NT0824,,,,Called at midnight after 13 innings with game tied 4-4,,,Tied
8/23/1946,Fri,6:30pm,Lawrence,,Lynn,,,Game1,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
8/23/1946,Fri,,Lawrence,,Lynn,,,Game2,,MAKEUP-RAINEDOUT,,,Rain,,,,,,
8/23/1946,Fri,7pm,Portland,4,Providence,0,6,Game1,BG March 17; TSN May 16,,PT0824,PJ0824,,Rain,,Game called in 7th inning due to rain,Portland,Providence,
8/23/1946,Fri,,Portland,,Providence,,,Game2,,MAKEUP-RAINEDOUT,,,Rain,,,,,,
8/24/1946,Sat,8:30pm,Lynn,5,Providence,0,,,,MAKEUP,,PJ0825,,,,,Lynn,Providence,
8/24/1946,Sat,6:30pm,Pawtucket,1,Nashua,2,7,Game1,BG March 17; TSN May 16,,PJ0825,PT0826 NT0826,,,,Scheduled 7-inning game,Nashua,Pawtucket,
8/24/1946,Sat,,Pawtucket,6,Nashua,2,,Game2,,MAKEUP,PJ0825,PT0826 NT0826,,,,Pawtucket hit 3 triples during a 4-run 5th inning; 4 triples overall in the game.,Pawtucket,Nashua,
8/24/1946,Sat,6:15pm,Lawrence,0,Manchester,6,7,Game1,BG March 17; TSN May 16,,PJ0825,,,,,,Manchester,Lawrence,
8/24/1946,Sat,,Lawrence,0,Manchester,11,,Game2,,MAKEUP,PJ0825,,,,,,Manchester,Lawrence,
8/24/1946,Sat,6:30pm,Portland,2,Fall River,0,7,Game1,,MAKEUP,,PJ0825 FR0826,,,,Scheduled 7-inning game,Portland,Fall River,
8/24/1946,Sat,8pm,Portland,1,Fall River,4,,Game2,,MAKEUP,,PJ0825 FR0826,,,,,Fall River,Portland,
8/25/1946,Sun,7pm,Lynn,1,Pawtucket,3,7,Game1,BG March 17; TSN May 16,,BG0826,PJ0826 PT0826,,,,Scheduled 7-inning game,Pawtucket,Lynn,
8/25/1946,Sun,,Lynn,1,Pawtucket,3,,Game2,BG March 17; TSN May 16,,BG0826,PJ0826 PT0826,,,,,Pawtucket,Lynn,
8/25/1946,Sun,3pm,Providence,4,Fall River,1,,,BG March 17; TSN May 16,,PT0826 BG0826,PJ0826 FR0826,,,,,Providence,Fall River,
8/25/1946,Sun,8:30pm,Fall River,5,Providence,3,,,BG March 17; TSN May 16,,PT0826 BG0826,PJ0826 FR0826,,,,,Fall River,Providence,
8/25/1946,Sun,8:15pm,Lawrence,1,Nashua,3,,,BG March 17; TSN May 16,,PJ0826 PT0826 BG0826,NT0826,,,,,Nashua,Lawrence,
8/25/1946,Sun,2:30pm,Portland,13,Manchester,12,,,BG March 17; TSN May 16,,PJ0826 PT0826 BG0826,,,,Portsmouth NH,"Game played in Portsmouth NH in honor of Manchester's Clint ""Timber"" Dahlberg who lived in Portsmouth. TSN0904 says Dahlberg had spent the past three years with the Naval Prison Marines baseball team. Portsmouth mayor Mary Dondero threw out first pitch to Mayor Josephat Benoit of Manchester.",Portland,Manchester,
8/26/1946,Mon,8:15pm,Nashua,2,Pawtucket,0,,,BG March 17; TSN May 16,,,PJ0827 PT0827 NT0827,,,,,Nashua,Pawtucket,
8/26/1946,Mon,7pm,Portland,4,Lawrence,7,7,Game1,BG March 17; TSN May 16,,PJ0827 PT0827,,,,,Scheduled 7-inning game,Lawrence,Portland,
