Date,Day,Time,Road,RunsRoad,Home,RunsHome,Innings,DH,OriginalScheduleReference,Rescheduled,LinescoreReference,BoxscoreReference,PostponementReason,ShortenedGameReason,NeutralSiteInfo,Notes,Winner,Loser,Tie
5/12/1946,Sun,8pm,Lawrence,,Manchester,,,,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
5/13/1946,Mon,8:30pm,Portland,1,Providence,10,,,BG March 17; TSN May 16,,PT0514,PJ0514,,,,,Providence,Portland,
5/13/1946,Mon,8:30pm,Pawtucket,10,Lawrence,4,,,BG March 17; TSN May 16,,,PJ0514 PT0514,,,,,Pawtucket,Lawrence,
5/13/1946,Mon,5:30pm,Lynn,9,Fall River,1,,,BG March 17; TSN May 16,,PT0514,PJ0514 BG0514 FR0514,,,,,Lynn,Fall River,
5/13/1946,Mon,8pm,Nashua,10,Manchester,11,11,,BG March 17; TSN May 16,,PT0514,NT0514,,,,,Manchester,Nashua,
5/14/1946,Tue,8:30pm,Manchester,2,Providence,9,,,BG March 17; TSN May 16,,BG0515 PT0515,PJ0515,,,,,Providence,Manchester,
5/14/1946,Tue,5pm,Lawrence,3,Nashua,4,,,BG March 17; TSN May 16,,PT0515,BG0515 NT0515,,,,,Nashua,Lawrence,
5/14/1946,Tue,8:15pm,Pawtucket,1,Lynn,8,,,BG March 17; TSN May 16,,,PJ0515 BG0515 PT0515,,,,,Lynn,Pawtucket,
5/14/1946,Tue,5:30pm,Portland,3,Fall River,1,,,BG March 17; TSN May 16,,PT0515,PJ0515 FR0515,,,,TSN 5/23/1946: Portland won with two runs from a bases-loaded walk and a squeeze play.,Portland,Fall River,
5/15/1946,Wed,8:30pm,Nashua,3,Lawrence,4,,,BG March 17; TSN May 16,,PJ0516 PT0516,NT0516,,,,,Lawrence,Nashua,
5/15/1946,Wed,8:15pm,Fall River,,Lynn,,,,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
5/15/1946,Wed,3:15pm,Pawtucket,,Portland,,,,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
5/15/1946,Wed,4:30pm,Providence,11,Manchester,6,,,BG March 17; TSN May 16,,PT0516,PJ0516,,,,TSN 5/23/1946: Al Suss grand slam during 6-run 7th inning for Providence,Providence,Manchester,
5/16/1946,Thu,8:15pm,Lynn,,Pawtucket,,,,BG March 17; TSN May 16,RAINEDOUT,,,Rain: Game called after top of 1st inning,,,From PT0517: Game was called after the top of the first.,,,
5/16/1946,Thu,5pm,Manchester,1,Nashua,8,,,BG March 17; TSN May 16,,PJ0517,NT0517,,,,Newcombe second win of season,Nashua,Manchester,
5/16/1946,Thu,5:30pm,Lawrence,4,Fall River,1,,,BG March 17; TSN May 16,,,PJ0517 FR0517,,,,,Lawrence,Fall River,
5/16/1946,Thu,3:15pm,Providence,6,Portland,9,,,BG March 17; TSN May 16,,,PJ0517,,,,,Portland,Providence,
5/17/1946,Fri,8:15pm,Manchester,,Pawtucket,,,,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
5/17/1946,Fri,8:15pm,Nashua,,Lynn,,,,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
5/17/1946,Fri,3:15pm,Providence,7,Portland,1,,,BG March 17; TSN May 16,,PT0518,,,,,,Providence,Portland,
5/18/1946,Sat,8pm,Fall River,,Providence,,,,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
5/18/1946,Sat,6pm,Pawtucket,,Nashua,,,Game1,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
5/18/1946,Sat,,Pawtucket,,Nashua,,,Game2,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
5/18/1946,Sat,,Lawrence,,Portland,,,,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
5/18/1946,Sat,,Lynn,,Manchester,,,,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
5/19/1946,Sun,,Providence,5,Pawtucket,1,,,BG March 17; TSN May 16,,BG0520,PJ0520 PT0520,,,,,Providence,Pawtucket,
5/19/1946,Sun,,Lawrence,1,Lynn,2,11,,BG March 17; TSN May 16,,PJ0520 BG0520 PT0520,,,,,,Lynn,Lawrence,
5/19/1946,Sun,1:30pm,Portland,1,Fall River,4,,Game1,BG March 17; TSN May 16,,BG0520 PT0520,PJ0520 FR0520,,,,,Fall River,Portland,
5/19/1946,Sun,,Portland,6,Fall River,13,,Game2,BG March 17; TSN May 16,,BG0520 PT0520,PJ0520 FR0520poor,,,,Sam Foxx brother of Jimmie Foxx made his first start for Indians but allowed single and four walks to first five batters and was pulled from the game,Fall River,Portland,
5/19/1946,Sun,2:30pm,Nashua,2,Manchester,4,,,BG March 17; TSN May 16,,PJ0520 BG0520 PT0520,NT0520,,,,,Manchester,Nashua,
5/20/1946,Mon,8:30pm,Fall River,2,Pawtucket,4,,,BG March 17; TSN May 16,,BG0521,PJ0521 PT0521 FR0521,,,,From PJ0521: Indians mgr Burns ejected by Umpire Brady in the fifth for arguing ball-strike call; 3B Joe Gatta also ejected. 6/12/1946 TSN: Burns later fined $10 and Gatta fined $5 by league president Claude B. Davidson,Pawtucket,Fall River,
5/20/1946,Mon,,Lynn,2,Providence,4,,,BG March 17; TSN May 16,,BG0521 PT0521,PJ0521,,,,,Providence,Lynn,
5/20/1946,Mon,8:15pm,Portland,4,Nashua,2,,,BG March 17; TSN May 16,,PJ0521 BG0521 PT0521,NT0521,,,,,Portland,Nashua,
5/20/1946,Mon,,Manchester,7,Lawrence,8,12,,BG March 17; TSN May 16,,BG0521 PT0521,,,,,TSN 6/5/1946: Lefty Kadis hit HR and then a triple in 12th inning; scored winning run. Crash Davis game-tying 2-run HR in 9th.,Lawrence,Manchester,
5/21/1946,Tue,,Lawrence,,Pawtucket,,,,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
5/21/1946,Tue,8:15pm,Providence,,Nashua,,,,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
5/21/1946,Tue,,Manchester,,Lynn,,,,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
5/21/1946,Tue,,Fall River,,Portland,,,,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
5/22/1946,Wed,8:30pm,Nashua,5,Pawtucket,2,,,BG March 17; TSN May 16,,BG0523,PJ0523 PT0523 NT0523,,,,,Nashua,Pawtucket,
5/22/1946,Wed,,Providence,7,Lawrence,6,,,BG March 17; TSN May 16,,BG0523 PT0523,PJ0523,,,,,Providence,Lawrence,
5/22/1946,Wed,,Lynn,4,Portland,5,,,BG March 17; TSN May 16,,PJ0523 BG0523 PT0523,,,,,,Portland,Lynn,
5/22/1946,Wed,,Fall River,1,Manchester,2,,,BG March 17; TSN May 16,,PJ0523 BG0523 PT0523,FR0524,,,,From PJ: Neil Saulia no-hitter; retires the side in order in 7 of  9 innings; gave up 1 run in 5th on errors and a stolen base followed by first baseman holding ball during an argument with an umpire,Manchester,Fall River,
5/23/1946,Thu,,Lynn,3,Lawrence,2,,,BG March 17; TSN May 16,,PJ0524 BG0524 PT0524,,,,,,Lynn,Lawrence,
5/23/1946,Thu,5:30pm,Pawtucket,3,Fall River,2,10,,BG March 17; TSN May 16,,BG0524,PJ0524 PT0524 (blurry) FR0524,,,,,Pawtucket,Fall River,
5/23/1946,Thu,3:15pm,Nashua,11,Portland,0,,,BG March 17; TSN May 16,,PJ0524 BG0524 PT0524,NT0524,,,,From PJ: Joe O'Neil one-hit shutout,Nashua,Portland,
5/23/1946,Thu,,Providence,4,Manchester,2,,,BG March 17; TSN May 16,,BG0524 PT0524,PJ0524,,,,,Providence,Manchester,
5/24/1946,Fri,,Pawtucket,13,Providence,4,,,BG March 17; TSN May 16,,,PJ0525 PT0525 poor,,,,,Pawtucket,Providence,
5/24/1946,Fri,8:15pm,Manchester,2,Nashua,5,,,BG March 17; TSN May 16,,PT0525,NT0525,,,,,Nashua,Manchester,
5/24/1946,Fri,,Portland,2,Lawrence,12,,,BG March 17; TSN May 16,,PT0525,,,,,,Lawrence,Portland,
5/24/1946,Fri,,Fall River,1,Lynn,13,,,BG March 17; TSN May 16,,PT0525,PJ0525 FR0525,,,,,Lynn,Fall River,
5/25/1946,Sat,8:15pm,Lynn,4,Nashua,7,,,BG March 17; TSN May 16,,PJ0526,NT0527,,,,From PJ/NT: Newcombe third-straight victory; complete game and had seven shutout inning before allowing four runs in the last two innings,Nashua,Lynn,
5/25/1946,Sat,8:30pm,Providence,15,Fall River,9,,,BG March 17; TSN May 16,,,PJ0526 FR0527,,,,,Providence,Fall River,
5/25/1946,Sat,,Lawrence,1,Manchester,6,,Game1,BG March 17; TSN May 16,,PJ0526,,,,,,Manchester,Lawrence,
5/25/1946,Sat,,Lawrence,8,Manchester,9,7,Game2,,MAKEUP,PJ0526,,,,,Scheduled 7-inning nightcap,Manchester,Lawrence,
5/26/1946,Sun,8:30pm,Portland,,Pawtucket,,,,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
5/26/1946,Sun,8:30pm,Lawrence,,Providence,,,,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
5/26/1946,Sun,8:15pm,Fall River,,Nashua,,,,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
5/26/1946,Sun,Afternoon,Nashua,0,Lynn,3,,,BG March 17; TSN May 16,,PT0527,BG0527 NT0527,,,,From PJ: Walker Cress no-hitter,Lynn,Nashua,
5/26/1946,Sun,Afternoon,Fall River,3,Manchester,2,,,BG March 17; TSN May 16,,PT0527,PJ0527 FR0527,,,,,Fall River,Manchester,
5/27/1946,Mon,8:30pm,Nashua,,Providence,,,,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
5/27/1946,Mon,8:30pm,Pawtucket,,Lawrence,,,,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
5/27/1946,Mon,8:30pm,Lynn,,Fall River,,,,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
5/27/1946,Mon,5:45pm,Manchester,,Portland,,,,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
5/28/1946,Tue,8:30pm,Fall River,,Pawtucket,,,,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,From PT: Postponed to Monday 6/3,,,
5/28/1946,Tue,,Manchester,,Providence,,,,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
5/28/1946,Tue,,Lawrence,,Nashua,,,,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
5/28/1946,Tue,,Portland,,Lynn,,,,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
5/29/1946,Wed,8:30pm,Nashua,2,Pawtucket,8,,,BG March 17; TSN May 16,,BG0530,PJ0530 PT0531 NT0531,,,,,Pawtucket,Nashua,
5/29/1946,Wed,8:30pm,Portland,0,Providence,9,,,BG March 17; TSN May 16,,,PJ0530,,,,,Providence,Portland,
5/29/1946,Wed,,Lawrence,1,Lynn,8,,,BG March 17; TSN May 16,,PJ0530,BG0530,,,,,Lynn,Lawrence,
5/29/1946,Wed,8:30pm,Manchester,,Fall River,,,,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
5/30/1946,Thu,,Providence,2,Nashua,3,7,Game1,BG March 17; TSN May 16,,BG0531 PT0531,PJ0531 NT0531,,,,Scheduled 7-inning opener on Memorial Day holiday,Nashua,Providence,
5/30/1946,Thu,,Providence,,Nashua,,,Game2,BG March 17; TSN May 16,PROTESTED_SUCCESSFULLY,BG0531 PT0531,PJ0531 NT0531,Nashua lost 1-0 but Dodgers protested and result was overturned,,,Game ended with Providence ahead 1-0; Dodgers won protest (TSN 6/12/1946: with two out in 9th Alston drew walk and sent a pinch-runner to first in his place and was called out) and game resumed on 6/12 in ninth inning,,,
5/30/1946,Thu,,Lynn,6,Lawrence,17,8,Game1,BG March 17; TSN May 16,,BG0531 PT0531,PJ0531,,,,Called after 8th inning. TSN 6/12/1946: Pitcher George Kadis went 4-for-4 with a homer.,Lawrence,Lynn,
5/30/1946,Thu,,Lynn,11,Lawrence,3,,Game2,BG March 17; TSN May 16,,PJ0531 BG0531 PT0531,,,,,,Lynn,Lawrence,
5/30/1946,Thu,,Fall River,4,Portland,3,10,Game1,BG March 17; TSN May 16,,BG0531 PT0531,PJ0531 FR0531,,,,,Fall River,Portland,
5/30/1946,Thu,,Fall River,0,Portland,5,7,Game2,BG March 17; TSN May 16,,BG0531 PT0531,PJ0531 FR0531,,Darkness,,Game called due to darkness,Portland,Fall River,
5/30/1946,Thu,,Pawtucket,4,Manchester,1,7,Game1,BG March 17; TSN May 16,,BG0531,PJ0531 PT0531,,,,Scheduled 7-inning opener,Pawtucket,Manchester,
5/30/1946,Thu,,Pawtucket,0,Manchester,4,,Game2,BG March 17; TSN May 16,,BG0531,PJ0531 PT0531,,,,"From PJ: Roy Bridges no-hitter (TSN 6/12/1946: 4 walks, 4 strikeouts)",Manchester,Pawtucket,
5/31/1946,Fri,,Manchester,6,Pawtucket,9,,,BG March 17; TSN May 16,,,PJ0601 PT0601,,,,,Pawtucket,Manchester,
5/31/1946,Fri,,Lynn,13,Providence,0,,,BG March 17; TSN May 16,,PT0601,PJ0601,,,,,Lynn,Providence,
5/31/1946,Fri,8:15pm,Portland,10,Nashua,11,,,BG March 17; TSN May 16,,PJ0601 PT0601,NT0601,,,,,Nashua,Portland,
5/31/1946,Fri,,Fall River,2,Lawrence,16,,,BG March 17; TSN May 16,,PT0601,PJ0601 FR0601,,,,,Lawrence,Fall River,
6/1/1946,Sat,,Manchester,,Providence,,,,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
6/1/1946,Sat,6pm,Pawtucket,,Nashua,,,Game1,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
6/1/1946,Sat,,Pawtucket,,Nashua,,,Game2,,RAINEDOUT,,,Rain,,,,,,
6/1/1946,Sat,6pm,Lynn,,Fall River,,,Game1,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
6/1/1946,Sat,8:30pm,Lynn,,Fall River,,,Game2,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
6/1/1946,Sat,,Lawrence,,Portland,,,,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
6/2/1946,Sun,8pm,Providence,,Pawtucket,,,,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
6/2/1946,Sun,2:30pm,Manchester,,Lawrence,,,,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
6/2/1946,Sun,3pm,Pawtucket,,Lynn,,,,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
6/2/1946,Sun,3pm,Providence,,Fall River,,,,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
6/2/1946,Sun,2:30pm,Nashua,7,Portland,6,,,BG March 17; TSN May 16,,PJ0603 PT0603,NT0603,,,,,Nashua,Portland,
6/2/1946,Sun,8:15pm,Lawrence,,Manchester,,,,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
6/3/1946,Mon,8:30pm,Lynn,5,Providence,3,,,BG March 17; TSN May 16,,BG0604 PT0604,PJ0604,,,,,Lynn,Providence,
6/3/1946,Mon,,Nashua,4,Lawrence,5,,,BG March 17; TSN May 16,,BG0604 PT0604,NT0604,,,,From BG: Campenella 3-run HR in first inning,Lawrence,Nashua,
6/3/1946,Mon,,Manchester,8,Portland,9,,,BG March 17; TSN May 16,,PT0604,,,,,,Portland,Manchester,
6/3/1946,Mon,8:30pm,Fall River,0,Pawtucket,7,,,,MAKEUP,BG0604,PJ0604 PT0604poor FR0604,,,,,Pawtucket,Fall River,
6/4/1946,Tue,8:30pm,Providence,,Lynn,,,,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
6/4/1946,Tue,8:30pm,Pawtucket,,Fall River,,,,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,Sam Foxx released,,,
6/4/1946,Tue,,Portland,2,Manchester,13,6,,BG March 17; TSN May 16,,PT0605,,,Rain,,Called due to rain,Manchester,Portland,
6/5/1946,Wed,8:30pm,Lawrence,,Providence,,,,BG March 17; TSN May 16,RAINEDOUT,,,Rain: Game tied 1-1 in 2nd inning,,,Called in second inning with score tied 1-1,,,
6/5/1946,Wed,,Nashua,4,Lynn,3,8,Game1,BG March 17; TSN May 16,,PJ0606 PT0606,NT0606,,Darkness,,Called due to darkness…,Nashua,Lynn,
6/5/1946,Wed,,Nashua,4,Lynn,5,,Game2,,MAKEUP,PJ0606 PT0606,NT0606,,,,…but they played Game 2 according to NT0606,Lynn,Nashua,
6/5/1946,Wed,2:30pm,Pawtucket,,Portland,,,Game1,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
6/5/1946,Wed,,Pawtucket,,Portland,,,Game2,,MAKEUP-RAINEDOUT,,,Rain,,,,,,
6/5/1946,Wed,,Fall River,0,Manchester,11,,,,MAKEUP,PJ0606 PT0606, ,,,,No box score in FR0606,Manchester,Fall River,
6/6/1946,Thu,8:30pm,Portland,5,Providence,17,,,BG March 17; TSN May 16,,PT0607,PJ0607,,,,,Providence,Portland,
6/6/1946,Thu,6pm,Lynn,1,Nashua,8,7,Game1,BG March 17; TSN May 16,,PJ0607 PT0607,NT0607,,,,Scheduled 7-inning opener; This is the only Nashua home game listed in BG March 17 that was not listed in NT0318 home schedule,Nashua,Lynn,
6/6/1946,Thu,,Lynn,4,Nashua,0,,Game2,,MAKEUP,PJ0607 PT0607,NT0607,,,,,Lynn,Nashua,
6/6/1946,Thu,8:30pm,Pawtucket,5,Lawrence,4,,,BG March 17; TSN May 16,,,PJ0607 PT0607,,,,,Pawtucket,Lawrence,
6/6/1946,Thu,8:30pm,Manchester,3,Fall River,1,,,BG March 17; TSN May 16,,PT0607,PJ0607 FR0607,,,,,Manchester,Fall River,
6/7/1946,Fri,8:30pm,Fall River,5,Providence,0,,,BG March 17; TSN May 16,,PT0608,PJ0608 FR0608,,,,,Fall River,Providence,
6/7/1946,Fri,8:30pm,Portland,,Lawrence,,,,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
6/7/1946,Fri,8:30pm,Pawtucket,1,Lynn,2,,,BG March 17; TSN May 16,,PJ0608 BG0608,PT0608,,,,,Lynn,Pawtucket,
6/7/1946,Fri,8:15pm,Nashua,,Manchester,,,,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
6/8/1946,Sat,3pm,Manchester,5,Pawtucket,7,,Game1,BG March 17; TSN May 16,,,PJ0609 PT0610,,,,,Pawtucket,Manchester,
6/8/1946,Sat,8:30pm,Manchester,2,Pawtucket,11,,Game2,,MAKEUP,,PJ0609 PT0610,,,,,Pawtucket,Manchester,
6/8/1946,Sat,,Lawrence,,Nashua,,,,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
6/8/1946,Sat,8:30pm,Providence,,Fall River,,,,BG March 17; TSN May 16,RAINEDOUT,,,Rain: Fall River led 2-0 after 4th inning,,,Game called with Fall River leading 2-0 after four innings,,,
6/8/1946,Sat,,Lynn,15,Portland,7,,,BG March 17; TSN May 16,,PJ0609,,,,,FR0610 says Lynn won 14-7,Lynn,Portland,
6/9/1946,Sun,Afternoon,Providence,1,Pawtucket,7,,,,MAKEUP,,PJ0610 PT0610,,,,,Pawtucket,Providence,
6/9/1946,Sun,Night,Pawtucket,5,Providence,7,,,BG March 17; TSN May 16,,,PJ0610 PT0610,,,,,Providence,Pawtucket,
6/9/1946,Sun,Afternoon,Manchester,5,Nashua,0,,,BG March 17; TSN May 16,,PJ0610 PT0610,NT0610,,,,,Manchester,Nashua,
6/9/1946,Sun,Night,Nashua,5,Manchester,1,,,BG March 17; TSN May 16,,PJ0610 PT0610 BG0610,NT0610,,,,,Nashua,Manchester,
6/9/1946,Sun,,Fall River,5,Lawrence,14,,Game1,BG March 17; TSN May 16,,PT0610 BG0610,PJ0610 FR0610,,,,,Lawrence,Fall River,
6/9/1946,Sun,,Fall River,3,Lawrence,8,,Game2,BG March 17; TSN May 16,,PT0610 BG0610,PJ0610 FR0610,,,,NT0610 says 8-4 but other papers say 8-3 and linescore says 3 for Fall River,Lawrence,Fall River,
6/9/1946,Sun,,Lynn,5,Portland,1,,,BG March 17; TSN May 16,,PJ0610 PT0610 BG0610,,,,,,Lynn,Portland,
6/10/1946,Mon,8:30pm,Fall River,3,Pawtucket,7,,,BG March 17; TSN May 16,,,PJ0611 PT0611 FR0611,,,,,Pawtucket,Fall River,
6/10/1946,Mon,8:30pm,Portland,2,Nashua,12,,,BG March 17; TSN May 16,,PJ0611,NT0611,,,,,Nashua,Portland,
6/10/1946,Mon,8:30pm,Providence,1,Lawrence,12,,,BG March 17; TSN May 16,,PT0611,PJ0611,,,,,Lawrence,Providence,
6/10/1946,Mon,6pm,Lynn,7,Manchester,0,,Game1,BG March 17; TSN May 16,,PJ0611 PT0611,,,,,"TSN 6/26/1946: In one of these games Roy Bridges struck out 13 to tie old NE League record set by Chuck Wolff of the Manchester Blue Sox ""in the early 20's""",Lynn,Manchester,
6/10/1946,Mon,,Lynn,1,Manchester,3,,Game2,,MAKEUP,PJ0611 PT0611,,,,,,Manchester,Lynn,
6/11/1946,Tue,6:15pm,Portland,,Pawtucket,,,Game1,BG March 17; TSN May 16,RAINEDOUT,,,Rain: Game called after first inning,,,,,,
6/11/1946,Tue,9:15pm,Portland,6,Pawtucket,11,,Game2,,MAKEUP-RAINEDOUT,BG0612,PJ0612 PT0612,Rain,,,,Pawtucket,Portland,
6/11/1946,Tue,8:30pm,Lawrence,,Lynn,,,,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
6/11/1946,Tue,6pm,Nashua,,Fall River,,,Game1,BG March 17; TSN May 16,RAINEDOUT,,,Rain: Nashua led 1-0 in bottom of 3rd inning,,,Game called in bottom of third inning with Dodgers leading 1-0,,,
6/11/1946,Tue,8:30pm,Nashua,,Fall River,,,Game2,,MAKEUP-RAINEDOUT,,,Rain,,,,,,
6/11/1946,Tue,,Providence,,Manchester,,,,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
6/12/1946,Wed,8:30pm,Providence,1,Nashua,2,,Game1,,RESUMPTION_OF_PROTESTED_GAME,,NT0613,,,,Second game of 05/30 DH led to protest by Nashua (see PT0610 and PJ0610) then Cranston announced their own protest before game was resumed (see 0613 papers plus PJ0614),Nashua,Providence,
6/12/1946,Wed,,Providence,5,Nashua,3,,Game2,BG March 17; TSN May 16,,BG0613,PJ0613 NT0613,,,,,Providence,Nashua,
6/12/1946,Wed,8:30pm,Lynn,11,Lawrence,1,,,BG March 17; TSN May 16,,BG0613,,,,,,Lynn,Lawrence,
6/12/1946,Wed,8:30pm,Pawtucket,1,Fall River,4,,,BG March 17; TSN May 16,,BG0613,PJ0613 PT0613 FR0613,,,,,Fall River,Pawtucket,
6/12/1946,Wed,8:30pm,Portland,10,Manchester,19,,,BG March 17; TSN May 16,,PJ0613 BG0613,,,,,,Manchester,Portland,
6/13/1946,Thu,6:15pm,Lynn,2,Pawtucket,3,11,Game1,BG March 17; TSN May 16,,BG0614,PJ0614 PT0614,,,,,Pawtucket,Lynn,
6/13/1946,Thu,,Lynn,0,Pawtucket,3,7,Game2,,MAKEUP,BG0614,PJ0614 PT0614,,,,Scheduled 7-inning game,Pawtucket,Lynn,
6/13/1946,Thu,8:30pm,Manchester,4,Nashua,2,,,BG March 17; TSN May 16,,PJ0614 PT0614,NT0614,,,,,Manchester,Nashua,
6/13/1946,Thu,8:30pm,Lawrence,15,Fall River,4,,,BG March 17; TSN May 16,,PT0614 BG0614,PJ0614 FR0614,,,,,Lawrence,Fall River,
6/13/1946,Thu,5:45pm,Providence,4,Portland,2,,,BG March 17; TSN May 16,,PT0614,PJ0614,,,,,Providence,Portland,
6/14/1946,Fri,,Pawtucket,0,Lawrence,6,,,BG March 17; TSN May 16,,,PJ0615 PT0615,,,,TSN 6/26/1946: George Kadis 8th straight win including at least one over each of the other teams in the league.,Lawrence,Pawtucket,
6/14/1946,Fri,,Providence,2,Lynn,3,,,BG March 17; TSN May 16,,PT0615,PJ0615,,,,,Lynn,Providence,
6/14/1946,Fri,,Nashua,11,Portland,5,,,BG March 17; TSN May 16,,PJ0615 PT0615,NT0615,,,,,Nashua,Portland,
6/14/1946,Fri,,Fall River,1,Manchester,5,,,BG March 17; TSN May 16,,PT0615,PJ0615 FR0615,,,,,Manchester,Fall River,
6/15/1946,Sat,7:30pm,Manchester,9,Providence,4,7,Game1,BG March 17; TSN May 16,,,PJ0616,,,,Scheduled 7-inning game,Manchester,Providence,
6/15/1946,Sat,,Manchester,15,Providence,3,7,Game2,,MAKEUP,,PJ0616,,11:40 pm Curfew,,Game called due to curfew at 11:40pm,Manchester,Providence,
6/15/1946,Sat,8:30pm,Nashua,7,Lawrence,5,,,BG March 17; TSN May 16,,,NT0617,,,,,Nashua,Lawrence,
6/15/1946,Sat,6pm,Lynn,4,Fall River,1,7,Game1,BG March 17; TSN May 16,,,PJ0616 FR0617,,,,Scheduled 7-inning game,Lynn,Fall River,
6/15/1946,Sat,,Lynn,7,Fall River,3,,Game2,,MAKEUP,,PJ0616 FR0617,,,,,Lynn,Fall River,
6/15/1946,Sat,3:15pm,Pawtucket,4,Portland,5,,Game1,BG March 17; TSN May 16,,,PJ0616 PT0617,,,,,Portland,Pawtucket,
6/15/1946,Sat,,Pawtucket,8,Portland,3,7,Game2,,MAKEUP,,PJ0616 PT0617,,,,Scheduled 7-inning game,Pawtucket,Portland,
6/16/1946,Sun,8:30pm,Manchester,4,Pawtucket,7,,,BG March 17; TSN May 16,,,PJ0617 PT0617,,,,,Pawtucket,Manchester,
6/16/1946,Sun,8:30pm,Lynn,2,Nashua,6,,,BG March 17; TSN May 16,,PJ0617 PT0617,NT0617,,,,From PJ0617: Matt Batts broke up Bob Shephard no-hitter with pinch-hit HR to left in 8th inning,Nashua,Lynn,
6/16/1946,Sun,3pm,Pawtucket,3,Lynn,4,,,BG March 17; TSN May 16,,BG0617,PJ0617 PT0617,,,,,Lynn,Pawtucket,
6/16/1946,Sun,2:30pm,Providence,7,Fall River,4,,,BG March 17; TSN May 16,,PT0617,PJ0617 FR0617,,,,,Providence,Fall River,
6/16/1946,Sun,8:30pm,Fall River,3,Providence,6,,,,MAKEUP,PT0617,PJ0617 FR0617,,,,,Providence,Fall River,
6/16/1946,Sun,2pm,Lawrence,3,Portland,2,,Game1,BG March 17; TSN May 16,,PJ0617 PT0617,,,,,,Lawrence,Portland,
6/16/1946,Sun,,Lawrence,7,Portland,6,17,Game2,BG March 17; TSN May 16,,PJ0617 PT0617,,,,,,Lawrence,Portland,
6/17/1946,Mon,8:30pm,Fall River,3,Pawtucket,5,,,BG March 17; TSN May 16,,BG0618,PJ0618 PT0618 FR0618,,,,,Pawtucket,Fall River,
6/17/1946,Mon,8:30pm,Portland,0,Lawrence,7,,,BG March 17; TSN May 16,,BG0618,,,,,"From BG0618: Catcher Bill Hersey singled with two outs (and two strikes) in the 9th to break up Barney Ward's no-hittter. It was Ward's first professional game. OF Bill Cearley had a HR, 3B, and 2B.",Lawrence,Portland,
6/17/1946,Mon,8:30pm,Nashua,10,Lynn,11,10,,BG March 17; TSN May 16,,PJ0618 BG0618,NT0618,,,,,Lynn,Nashua,
6/17/1946,Mon,,Providence,,Manchester,,,,BG March 17; TSN May 16,REPLACED_WITH _MLB_EXHIBITION_GAME,,,,,,CHIEFS vs. Cincinnati Reds at Cranston Stadium (Reds won 11-1; box score in PJ0618),,,
